SID,article_number,value,Tone,Arousal,sharing_type,sharing
s043,12,Children need to get out and play. It is important to combat childhood obesity.,1,2,msg_share_narrow,1
s043,14,Engaging in bodily movements is healthy for both the body and the mind.,1,4,msg_share_broad,1
s043,14,Engaging in bodily movements is healthy for both the body and the mind.,1,4,msg_share_narrow,1
s043,15,Global warming is a myth.  Thought it was climate change now.  Or did they finally move on to climate crisis?,0,2,msg_share_broad,1
s043,15,Global warming is a myth.  Thought it was climate change now.  Or did they finally move on to climate crisis?,0,2,msg_share_narrow,1
s043,13,Government waste occurs even in times of disaster.  Liberals still want to blame climate change for their failures.,0,2,msg_share_broad,1
s043,13,Government waste occurs even in times of disaster.  Liberals still want to blame climate change for their failures.,0,2,msg_share_narrow,1
s043,19,"Land conservation is important in certain circumstances.  The chicken little tactics need to stop, though.",0,2,msg_share_broad,1
s043,19,"Land conservation is important in certain circumstances.  The chicken little tactics need to stop, though.",0,2,msg_share_narrow,1
s043,16,"People know they need to exercise, and reminders help",1,2,msg_share_broad,1
s043,16,"People know they need to exercise, and reminders help",1,2,msg_share_narrow,1
s043,18,Riding a bike will help you stay healthier even in your older years.,1,2,msg_share_broad,1
s043,18,Riding a bike will help you stay healthier even in your older years.,1,2,msg_share_narrow,1
s043,10,Side effects can occur even with simple supplements. A person needs to be cautious.,0,2,msg_share_broad,1
s043,10,Side effects can occur even with simple supplements. A person needs to be cautious.,0,2,msg_share_narrow,1
s043,17,"The California wild fires.  If only the democrats would stop hugging trees and actually do proper forest management, this would not happen.",0,2,msg_share_narrow,3
s043,17,"The California wild fires.  If only the democrats would stop hugging trees and actually do proper forest management, this would not happen.",0,2,msg_share_broad,5
s043,11,"The chicken little tactics must carry on.   Global warming is a myth, further study is needed.",0,1,msg_share_broad,1
s043,11,"The chicken little tactics must carry on.   Global warming is a myth, further study is needed.",0,1,msg_share_narrow,1
s046,53,due to cause of the disaster like floods and climate change the people get the flood insurance in the change of climate increases,0,2,msg_share_broad,80
s046,53,due to cause of the disaster like floods and climate change the people get the flood insurance in the change of climate increases,0,2,msg_share_narrow,81
s046,51,it describes that nuclear power which affect you personal and cause environment more bad,0,2,msg_share_broad,93
s046,51,it describes that nuclear power which affect you personal and cause environment more bad,0,2,msg_share_narrow,93
s046,55,it is very useful by using only limited plastic and made recycle the plastic we use,1,2,msg_share_narrow,73
